fromPoints,Latitude1,Longitude1,toPoints,Latitude2,Longitude2
CAMPBELL RIVER LAW COURTS,50.027912,-125.247125,GANGES,48.859991,-123.509222
COURTENAY LAW COURTS,49.689531,-124.999417,GOLD RIVER,49.781045,-126.04761
DUNCAN LAW COURTS,48.777968,-123.711027,PORT HARDY LAW COURTS,50.718948,-127.508532
NANAIMO LAW COURTS,49.168123,-123.936624,SIDNEY PROVINCIAL,48.651152,-123.397845
PORT ALBERNI LAW COURTS,49.23332,-124.806099,TAHISIS,49.923432,-126.661331
POWELL RIVER LAW COURTS,49.84593,-124.520754,TOFINO,49.153822,-125.906373
VICTORIA LAW COURTS,48.42212,-123.361953,UCLUELET,48.938441,-125.548412
CHILLIWACK LAW COURTS,49.142711,-122.00744,WESTERN COMMUNITIES,48.446657,-123.46644
NEW WESTMINSTER LAW COURTS,49.203243,-122.910726,BELLA BELLA,52.163112,-128.144989
CRANBROOK LAW COURTS,49.510117,-115.76621,BELLA COOLA,52.371969,-126.75351
GOLDEN LAW COURTS,51.296772,-116.966333,KLEMTU,52.590337,-128.526963
KAMLOOPS LAW COURTS,50.671339,-120.329708,NORTH VANCOUVER PROVINCIAL,49.330222,-123.068825
KELOWNA LAW COURTS,49.890005,-119.49656,PEMBERTON PROVINCIAL,50.321284,-122.808952
NELSON LAW COURTS,49.492891,-117.29477,SECHELT PROVINCIAL,49.472163,-123.764649
PENTICTON LAW COURTS,49.501684,-119.593912,VANCOUVER PROVINCIAL,49.282955,-123.099662
ROSSLAND LAW COURTS,49.076767,-117.795433,DOWNTOWN COMMUNITY COURT - VANCOUVER,49.28321,-123.097917
SALMON ARM LAW COURTS,50.701113,-119.275048,ROBSON SQUARE,49.282123,-123.121993
VERNON LAW COURTS,50.263864,-119.266593,RICHMOND PROVINCIAL,49.172042,-123.142392
DAWSON CREEK LAW COURTS,55.758803,-120.234334,PORT COQUITLAM PROVINCIAL,49.261892,-122.778122
FORT ST JOHN LAW COURTS,56.25207,-120.84751,ABBOTSFORD PROVINCIAL,49.051657,-122.330354
PRINCE GEORGE LAW COURTS,53.916235,-122.74259,SURREY PROVINCIAL,49.105694,-122.824788
PRINCE RUPERT LAW COURTS,54.316533,-130.321352,ASHCROFT PROVINCIAL COURT,50.72101,-121.28057
QUESNEL LAW COURTS,52.977462,-122.495093,CASTLEGAR PROVINCIAL,49.322622,-117.66623
SMITHERS LAW COURTS,54.778425,-127.174426,CHASE PROVINCIAL COURT,50.8196,-119.68611
TERRACE LAW COURTS,54.520259,-128.586943,CLEARWATER PROVINCIAL,51.649713,-120.038124
WILLIAMS LAKE LAW COURTS,52.129927,-122.139133,CRESTON LAW COURTS,49.097012,-116.513389
